subject,level,question,option1,option2,option3,option4,correct,explanation
Maths-1,Beginner,Derivative of x^2 is,2x,x,1,0,1,Power rule
Maths-1,Beginner,Integral of 1 dx is,x,1,0,x^2,1,Integral of constant 1
Maths-1,Beginner,Value of pi approximately is,2.71,3.14,1.41,1.73,2,Common approximation
Maths-1,Beginner,Derivative of sin x is,cos x,-cos x,sin x,-sin x,1,Standard derivative
Maths-1,Beginner,Integral of cos x is,sin x,-sin x,cos x,-cos x,1,Standard integral
Maths-1,Beginner,A 2 by 2 matrix has how many elements,2,3,4,5,3,Rows times columns
Maths-1,Intermediate,Derivative of ln x is,1 over x,ln x,x,0,1,Basic derivative
Maths-1,Intermediate,Integral of e^x is,e^x plus C,ln x plus C,e^x squared plus C,1 over e^x plus C,1,Derivative of e^x is e^x
Maths-1,Intermediate,Limit of sin x over x as x tends to 0 is,0,1,infinity,does not exist,2,Standard limit
Maths-1,Intermediate,Determinant of identity matrix I3 is,0,1,3,-1,2,Identity determinant is 1
Maths-1,Intermediate,If A and B are invertible then inverse of AB is,A inverse B inverse,B inverse A inverse,AB inverse,BA inverse,2,Reverse order rule
Maths-1,Intermediate,Derivative of x^n is,n x^(n-1),x^(n-1),n x^n,n over x,1,Power rule
Maths-1,Advanced,Eigenvalues are found from which equation,det A equals 0,det A minus lambda I equals 0,trace A equals 0,Ax equals 0,2,Characteristic equation
Maths-1,Advanced,Derivative of tan x is,sec^2 x,cosec^2 x,sec x,tan x,1,Standard derivative
Maths-1,Advanced,Integral of 1 over x is,ln absolute x plus C,x plus C,1 over x^2 plus C,e^x plus C,1,Standard integral
Maths-1,Advanced,If vectors are orthogonal then dot product is,1,-1,0,depends on magnitude,3,Orthogonal means perpendicular
Maths-1,Advanced,Rank of a matrix is,number of columns,number of rows,maximum linearly independent rows or columns,determinant value,3,Definition of rank
Maths-1,Advanced,For continuous f on a and b the MVT needs,only differentiable,only integrable,continuous on closed interval and differentiable on open interval,only bounded,3,Mean value theorem condition

Data Structures,Beginner,Which data structure follows FIFO,Stack,Queue,Tree,Heap,2,Queue is FIFO
Data Structures,Beginner,Which data structure follows LIFO,Queue,Array,Stack,Graph,3,Stack is LIFO
Data Structures,Beginner,Top operation is associated with,Queue,Stack,Tree,Hash table,2,Top is stack term
Data Structures,Beginner,Linear search worst case complexity is,O(1),O(log n),O(n),O(n log n),3,May scan all elements
Data Structures,Beginner,Binary tree node can have at most how many children,1,2,3,4,2,Definition of binary tree
Data Structures,Beginner,Which traversal is Root Left Right,Inorder,Postorder,Level order,Preorder,4,Preorder pattern
Data Structures,Intermediate,Binary search works on,unsorted array,sorted array,linked list only,hash map only,2,Requires sorted order
Data Structures,Intermediate,Binary search time complexity is,O(n),O(log n),O(n log n),O(1),2,Halving search space
Data Structures,Intermediate,Height balanced BST is,AVL tree,B tree,Heap,Trie,1,AVL is self balancing
Data Structures,Intermediate,Queue implementation can use,array or linked list,tree only,graph only,hash only,1,Both are common
Data Structures,Intermediate,DFS usually uses,Queue,Stack,Priority queue,Deque only,2,Explicit or recursion stack
Data Structures,Intermediate,BFS usually uses,Stack,Queue,Array,Recursion only,2,Level wise exploration
Data Structures,Advanced,Heap used for priority queue is usually,Complete binary tree,Perfect tree,BST,Trie,1,Heap property plus completeness
Data Structures,Advanced,Average case of quicksort is,O(n^2),O(log n),O(n log n),O(n),3,Average partition behavior
Data Structures,Advanced,Worst case of quicksort is,O(n^2),O(n log n),O(log n),O(1),1,Poor pivot repeatedly
Data Structures,Advanced,Hash table average search is,O(1),O(n),O(log n),O(n log n),1,Assuming good hashing
Data Structures,Advanced,Inorder traversal of BST gives,reverse sorted,random,sorted order,level order,3,BST property
Data Structures,Advanced,Red black tree guarantees height,linear in n,logarithmic in n,constant,quadratic,2,Balancing guarantee

DBMS,Beginner,ACID property A stands for,Atomicity,Accuracy,Availability,Association,1,Transaction property
DBMS,Beginner,SQL stands for,Simple Query Language,Structured Query Language,Sequential Query Language,System Query Language,2,Standard expansion
DBMS,Beginner,Primary key can be,NULL,duplicate,unique and not null,multiple null values,3,Key constraint
DBMS,Beginner,Foreign key is used to,enforce relationship,sort rows,compress data,encrypt data,1,References parent key
